index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
246,O=S(=O)(O)c1ccccc1,158.17800000000003,331.251,352.637,429.886,611.694,57.9693,385.25,2.081,-360.179,-479.0,54.891,13.151,0.076,,,,O=S(=O)(O)c1ccccc1 at 298K
247,CC(C)c1ccccc1,120.19499999999992,311.497,203.471,424.638,638.021,33.6583,441.21,0.871,136.522,0.179,45.129,9.778,0.138,5010.749,41.688,339.15,CC(C)c1ccccc1 at 298K
248,CC(C)(C)c1ccccc1,134.222,333.235,214.325,438.387,658.899,29.2072,488.39,0.866,147.943,-23.072,47.701,9.421,0.155,5624.838,41.907,339.082,CC(C)(C)c1ccccc1 at 298K
249,Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,236.06099999999995,140.39,278.503,386.703,504.211,19.6133,406.74,1.651,-1391.248,-1507.466,38.645,18.401,0.143,,,,Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F at 298K
250,O=Cc1ccco1,96.08499999999997,297.717,233.59,387.559,654.678,48.8857,249.25,1.434,-20.99,-37.389,22.725,11.521,0.067,,,,O=Cc1ccco1 at 298K
251,COC(=O)c1ccco1,126.11099999999996,294.199,207.896,405.482,636.067,40.8811,303.0,1.224,-228.575,-284.954,47.358,9.34,0.103,,,,COC(=O)c1ccco1 at 298K
252,O=CC1=CC=CC1,94.11299999999996,320.054,226.193,409.025,657.419,49.6452,284.43,1.001,29.275,-33.119,40.309,12.163,0.094,,,,O=CC1=CC=CC1 at 298K
253,COC(=O)C1=CC=CC1,124.13899999999995,319.15,221.735,424.897,629.894,38.4873,365.99,1.267,-141.654,-257.783,45.967,15.268,0.098,,,,COC(=O)C1=CC=CC1 at 298K
254,CC(=O)c1ccco1,110.11199999999995,312.63,236.12,411.598,680.427,42.8264,295.38,1.184,-31.987,-88.024,47.188,8.467,0.093,,,,CC(=O)c1ccco1 at 298K
255,CC(=O)C1=CC=CC1,108.13999999999994,315.81,271.277,443.738,637.672,39.6073,354.2,1.202,6.076,-79.629,40.36,10.696,0.09,,,,CC(=O)C1=CC=CC1 at 298K
256,CC1=C(C)CCC1,96.17299999999993,229.952,186.33,372.201,451.494,38.7748,284.85,0.829,28.93,-146.459,25.811,5.725,0.116,4073.091,42.352,336.567,CC1=C(C)CCC1 at 298K
257,CCc1ccco1,96.12899999999995,263.97,129.617,337.778,579.226,41.408,291.82,1.012,91.802,29.689,33.334,6.553,0.095,,,,CCc1ccco1 at 298K
258,CCC1=CC=CC1,94.15699999999994,270.487,148.885,363.907,549.939,37.736,335.0,0.805,119.484,28.76,33.926,8.126,0.117,4006.48,42.551,341.269,CCC1=CC=CC1 at 298K
259,N#Cc1ccoc1,93.08499999999997,206.165,281.553,407.774,672.383,47.6143,248.46,1.193,221.27,233.779,22.725,7.972,0.078,,,,N#Cc1ccoc1 at 298K
260,N#CC1=CCC=C1,91.11299999999996,323.955,309.483,414.839,640.036,47.8778,278.59,1.283,265.96,261.496,47.487,9.5,0.071,,,,N#CC1=CCC=C1 at 298K
261,Clc1ccco1,102.51999999999997,271.354,195.603,330.914,606.443,51.1453,227.09,1.385,59.476,54.507,32.909,8.436,0.074,,,,Clc1ccco1 at 298K
262,ClC1=CC=CC1,100.54799999999996,261.408,181.542,355.557,581.239,48.3443,278.82,1.547,101.348,44.851,33.529,8.959,0.065,,,,ClC1=CC=CC1 at 298K
263,CC1CCCC1,84.16199999999994,249.268,150.947,340.984,544.548,37.9217,310.64,0.772,42.411,-103.175,31.948,4.966,0.109,3720.865,44.211,340.177,CC1CCCC1 at 298K
264,CCC1CCCCC1,112.21599999999991,297.809,181.962,410.841,604.165,31.1229,418.11,0.796,49.488,-161.321,39.906,8.131,0.141,4937.399,43.999,339.36,CCC1CCCCC1 at 298K
